logblocktime	total	real	mixin	total_14	total_15	total_16	total_17	total_18	real_14	real_15	real_16	real_17	real_18	mixin_14	mixin_15	mixin_16	mixin_17	mixin_18
19.5	728347	33521	634651	0	63637	595283	58073	11354	0	1329	29674	1631	887	0	56773	520435	48790	8653
19.6	802232	43830	681893	0	40739	686210	63194	12089	0	6552	34418	2104	756	0	26763	592817	53102	9211
19.7	836233	44060	707083	0	6156	742012	75041	13024	0	75	40351	2878	756	0	4403	631503	61042	10135
19.8	1011786	36066	837322	0	0	917934	80287	13565	0	0	31077	4227	762	0	0	762544	64036	10742
19.9	976728	35207	798994	0	0	843010	117020	16698	0	0	28532	5379	1296	0	0	692849	93220	12925
20.0	1063031	20675	816471	0	0	884343	160251	18437	0	0	13665	6261	749	0	0	669574	131599	15298
20.1	540493	23350	369580	0	0	173627	345707	21159	0	0	2576	19467	1307	0	0	119589	233473	16518
20.2	243148	29521	120563	0	0	393	216217	26538	0	0	4	26102	3415	0	0	173	102432	17958
20.3	177710	32183	83181	0	0	0	141755	35955	0	0	0	28564	3619	0	0	0	57671	25510
20.4	147357	24251	63667	0	0	0	31684	115673	0	0	0	3083	21168	0	0	0	10455	53212
20.5	24646	4788	11481	0	0	0	0	24646	0	0	0	0	4788	0	0	0	0	11481
